X,Y,ID,Geo_ID,Accident_Year,Accident_Date,Accident_Time,Location,Location_Type,Classification_Of_Accident,Initial_Impact_Type,Road_Surface_Condition,Environment_Condition,Light,Traffic_Control,Num_of_Vehicle,Num_Of_Pedestrians,Num_of_Bicycles,Num_of_Motorcycles,Max_Injury,Num_of_Injuries,Num_of_Minimal_Injuries,Num_of_Minor_Injuries,Num_of_Major_Injuries,Num_of_Fatal_Injuries,X_Coordinate,Y_Coordinate,Lat,Long,ObjectId,lat_rounded,lon_rounded,intersection_cluster,lat,lon
-8426424.27421157,5688052.6028204,2017--405,2233,,2017/01/11,6:30,METCALFE ST @ SLATER ST (0002233),Intersection,03 - P.D. only,02 - Angle,04 - Slush,02 - Rain,07 - Dark,01 - Traffic signal,2,0,,,,,,,,,367731.7041,5031549.578,45.42105033,-75.69585716,205,45.4210503,-75.6958572,322,45.42105029999999,-75.6958572
-8426424.27421157,5688052.6028204,2017--658,2233,,2017/01/19,8:14,METCALFE ST @ SLATER ST (0002233),Intersection,03 - P.D. only,04 - Sideswipe,02 - Wet,01 - Clear,01 - Daylight,01 - Traffic signal,2,0,,,,,,,,,367731.7041,5031549.578,45.42105033,-75.69585716,958,45.4210503,-75.6958572,322,45.42105029999999,-75.6958572
-8426424.27421157,5688052.6028204,2017--2652,2233,,2017/03/14,15:53,METCALFE ST @ SLATER ST (0002233),Intersection,02 - Non-fatal injury,07 - SMV other,03 - Loose snow,03 - Snow,01 - Daylight,01 - Traffic signal,1,1,,,01 - Minimal,1.0,1.0,,,,367731.7041,5031549.578,45.42105033,-75.69585716,2721,45.4210503,-75.6958572,322,45.42105029999999,-75.6958572
-8426424.27421157,5688052.6028204,2017--9857,2233,,2017/11/02,21:45,METCALFE ST @ SLATER ST (0002233),Intersection,02 - Non-fatal injury,07 - SMV other,02 - Wet,02 - Rain,07 - Dark,01 - Traffic signal,1,1,,,01 - Minimal,1.0,1.0,,,,367731.7041,5031549.578,45.42105033,-75.69585716,9598,45.4210503,-75.6958572,322,45.42105029999999,-75.6958572
-8426424.27421157,5688052.6028204,2018--18439,2233,,2018/04/27,1:49,METCALFE ST @ SLATER ST (0002233),Intersection,02 - Non-fatal injury,02 - Angle,01 - Dry,01 - Clear,07 - Dark,01 - Traffic signal,2,0,,,02 - Minor,1.0,,1.0,,,367731.7041,5031549.578,45.42105033,-75.69585716,18548,45.4210503,-75.6958572,322,45.42105029999999,-75.6958572
-8426424.27421157,5688052.6028204,2018--19355,2233,,2018/05/29,8:52,METCALFE ST @ SLATER ST (0002233),Intersection,02 - Non-fatal injury,07 - SMV other,01 - Dry,01 - Clear,01 - Daylight,01 - Traffic signal,1,1,,,01 - Minimal,1.0,1.0,,,,367731.7041,5031549.578,45.42105033,-75.69585716,19667,45.4210503,-75.6958572,322,45.42105029999999,-75.6958572
-8426424.27421157,5688052.6028204,2018--20340,2233,,2018/06/26,14:46,METCALFE ST @ SLATER ST (0002233),Intersection,02 - Non-fatal injury,07 - SMV other,01 - Dry,01 - Clear,01 - Daylight,01 - Traffic signal,1,1,,,01 - Minimal,1.0,1.0,,,,367731.7041,5031549.578,45.42105033,-75.69585716,20047,45.4210503,-75.6958572,322,45.42105029999999,-75.6958572
-8426424.27421157,5688052.6028204,2018--26670,2233,,2018/12/19,16:12,METCALFE ST @ SLATER ST (0002233),Intersection,02 - Non-fatal injury,03 - Rear end,01 - Dry,01 - Clear,05 - Dusk,01 - Traffic signal,2,0,,,02 - Minor,1.0,,1.0,,,367731.7041,5031549.578,45.42105033,-75.69585716,26212,45.4210503,-75.6958572,322,45.42105029999999,-75.6958572
-8426424.27421157,5688052.6028204,2019--30325,2233,,2019/01/28,7:48,METCALFE ST @ SLATER ST (0002233),Intersection,02 - Non-fatal injury,07 - SMV other,03 - Loose snow,03 - Snow,03 - Dawn,01 - Traffic signal,1,1,,,02 - Minor,1.0,,1.0,,,367731.7041,5031549.578,45.42105033,-75.69585716,30637,45.4210503,-75.6958572,322,45.42105029999999,-75.6958572
-8426424.27421157,5688052.6028204,2019--32735,2233,,2019/03/23,15:30,METCALFE ST @ SLATER ST (0002233),Intersection,03 - P.D. only,04 - Sideswipe,01 - Dry,01 - Clear,01 - Daylight,01 - Traffic signal,2,0,,,,,,,,,367731.7041,5031549.578,45.42105033,-75.69585716,32468,45.4210503,-75.6958572,322,45.42105029999999,-75.6958572
