intersection_cluster,lat,lon,accident_count
0,45.432695975,-75.642128175,75
2,45.408565900000006,-75.6776488,22
4,45.40979409999999,-75.6784064,31
6,45.3885691,-75.7257577,103
10,45.30885975,-75.89871345,30
13,45.274265525,-75.717741875,80
21,45.3943162,-75.7488217,46
25,45.3785754,-75.6432015,33
33,45.47890559999999,-75.5130018,37
39,45.42052710000001,-75.6788663,43
40,45.42206899999999,-75.6801762,43
42,45.4253309,-75.6829123,120
43,45.42454860000001,-75.6847465,105
47,45.377944,-75.6449411,33
50,45.41655409999999,-75.6892401,37
52,45.39698324999999,-75.7089824,96
53,45.3961637,-75.70683110000002,84
69,45.293512775,-75.89569737500001,187
79,45.30181025,-75.8754906,40
80,45.2944925,-75.8941278,173
81,45.3097363,-75.9177392,70
92,45.26745569999999,-75.93144165,51
93,45.3099845,-75.900489,44
94,45.3113956,-75.9029629,62
96,45.3106769,-75.9016965,72
102,45.26751384999999,-75.93004339999999,51
112,45.323813,-75.8344148,13
126,45.3522843,-75.791379,55
129,45.3527243,-75.8073792,71
130,45.3618382,-75.79123635,143
133,45.3733074,-75.7724777,12
134,45.3694798,-75.7540388,80
139,45.34074869999999,-75.7615731,7
145,45.36912085,-75.7727577,84
146,45.3518072,-75.7911009,55
147,45.3684768,-75.7534906,101
149,45.3481243,-75.7872084,121
150,45.30056555,-75.87480055,40
163,45.382199499999984,-75.7432079,11
164,45.3800208,-75.7374391,34
166,45.3875843,-75.7333462,55
167,45.37865419999999,-75.73332100000002,58
168,45.38162580000001,-75.7384408,34
171,45.37779789999998,-75.7493231,65
172,45.381459,-75.74317,11
173,45.38915360000001,-75.7264921,103
178,45.3911245,-75.7531866,36
179,45.3897772,-75.7584829,17
180,45.3906299,-75.756913,17
183,45.3900856,-75.7562782,17
185,45.3921371,-75.753778,36
186,45.39345660000001,-75.7508866,21
187,45.4222455,-75.6968862,134
188,45.4094923,-75.6920736,245
189,45.4318993,-75.68842715,217
190,45.4147181,-75.6957999,31
191,45.42748849999999,-75.6887463,336
192,45.4170315,-75.7006849,71
194,45.4327644,-75.6944465,2
197,45.4260748,-75.6899572,294
198,45.42357960000001,-75.6956698,126
199,45.4114673,-75.7057522,70
200,45.41765500000001,-75.7012096,116
201,45.416212300000005,-75.69433,103
203,45.41754419999999,-75.695498,61
204,45.41957409999999,-75.6945759,114
205,45.4232287,-75.69480745,152
206,45.41569980000001,-75.708224,74
207,45.408801,-75.69377560000001,258
208,45.41572220000001,-75.6912326,69
210,45.42090009999999,-75.7039606,68
211,45.43411299999999,-75.6955857,2
212,45.4254851,-75.6894464,321
213,45.427904100000006,-75.6903157,174
214,45.421406,-75.6988338,119
215,45.42116190000001,-75.7013284,90
216,45.41814699999999,-75.7044218,133
221,45.4311868,-75.6900926,206
222,45.4185324,-75.6990653,114
223,45.4149381,-75.7077703,74
224,45.42672429999999,-75.6882856,346
225,45.42017909999999,-75.695101,181
227,45.4240269,-75.6965359,87
228,45.4122761,-75.7038581,62
229,45.4124086,-75.6910316,74
230,45.422849,-75.6974019,124
231,45.3992622,-75.7339404,40
233,45.4020412,-75.7265984,5
234,45.39523259999999,-75.7467117,42
235,45.4114651,-75.7117413,71
237,45.4149575,-75.7017497,30
238,45.41982404999999,-75.6920002,112
239,45.39336980000001,-75.7246497,8
240,45.417018,-75.6923573,82
241,45.43024830000001,-75.6922767,142
242,45.4285597,-75.6969696,73
243,45.41617230000001,-75.70277760000002,70
244,45.4193702,-75.6970684,133
245,45.4187643,-75.7049648,105
246,45.41636710000001,-75.691792,86
247,45.4067203,-75.7326955,4
249,45.410704200000005,-75.7075189,65
250,45.42701610000001,-75.6956377,74
252,45.41902660000001,-75.7023826,112
253,45.4301171,-75.6945871,126
254,45.4185216,-75.6909416,56
255,45.4287163,-75.6880815,234
256,45.414475,-75.6985518,67
257,45.42644320000001,-75.6891033,328
258,45.4116538,-75.6989751,10
259,45.4039501,-75.7072165,48
260,45.4146479,-75.6876049,42
261,45.3960166,-75.7262247,57
262,45.4292748,-75.6965578,102
263,45.43251245,-75.6889524,213
264,45.41843479999999,-75.7018846,127
265,45.4216383,-75.6963601,152
267,45.3994186,-75.7282912,64
268,45.4090416,-75.7119968,36
269,45.4028946,-75.7082797,60
270,45.4033359,-75.7250731,13
271,45.4019845,-75.7298569,48
272,45.4024434,-75.700516,116
273,45.41316969999999,-75.69745100000002,43
274,45.42055719999998,-75.7007992,117
275,45.41293460000001,-75.7126442,84
276,45.4094129,-75.694272,198
277,45.418357,-75.6935196,72
278,45.423422900000006,-75.6877346,209
280,45.4059662,-75.7025599,152
282,45.4078891,-75.7036745,49
283,45.4193562,-75.6997545,136
284,45.417476399999984,-75.7059895,110
285,45.42200400000001,-75.6993525,77
286,45.4113643,-75.68744755,227
