intersection_cluster,lat,lon,accident_count
0,45.40979409999999,-75.6784064,8
1,45.4296665,-75.7101515,0
2,45.42597756666666,-75.71150775833333,0
3,45.4284577,-75.710366,0
4,45.43088980000001,-75.7099325,0
5,45.42052710000001,-75.6788663,25
6,45.42206899999999,-75.6801762,30
8,45.4253309,-75.6829123,75
9,45.42454860000001,-75.6847465,29
10,45.41655409999999,-75.6892401,13
11,45.4222455,-75.6968862,7
12,45.4094923,-75.6920736,71
13,45.4318993,-75.68842715,64
14,45.4147181,-75.6957999,13
15,45.42748849999999,-75.6887463,29
16,45.4170315,-75.7006849,22
18,45.4327644,-75.6944465,4
21,45.4260748,-75.6899572,35
22,45.42357960000001,-75.6956698,3
23,45.4114673,-75.7057522,64
24,45.41765500000001,-75.7012096,19
25,45.416212300000005,-75.69433,31
27,45.41754419999999,-75.695498,16
28,45.41957409999999,-75.6945759,16
29,45.4232287,-75.69480745,19
30,45.41569980000001,-75.708224,53
31,45.408801,-75.69377560000001,108
32,45.41572220000001,-75.6912326,26
33,45.42090009999999,-75.7039606,30
34,45.43411299999999,-75.6955857,4
35,45.4254851,-75.6894464,70
36,45.427904100000006,-75.6903157,47
37,45.421406,-75.6988338,13
38,45.42116190000001,-75.7013284,2
39,45.41814699999999,-75.7044218,24
40,45.4311868,-75.6900926,38
41,45.4185324,-75.6990653,31
42,45.4149381,-75.7077703,10
43,45.42672429999999,-75.6882856,90
44,45.42017909999999,-75.695101,41
45,45.4240269,-75.6965359,41
46,45.4122761,-75.7038581,20
47,45.4124086,-75.6910316,10
48,45.422849,-75.6974019,4
49,45.4114651,-75.7117413,4
50,45.4149575,-75.7017497,5
51,45.41982404999999,-75.6920002,12
52,45.417018,-75.6923573,26
53,45.43024830000001,-75.6922767,50
54,45.4285597,-75.6969696,17
55,45.41617230000001,-75.70277760000002,16
56,45.4193702,-75.6970684,30
57,45.4187643,-75.7049648,21
58,45.41636710000001,-75.691792,13
60,45.410704200000005,-75.7075189,13
61,45.42701610000001,-75.6956377,1
62,45.41902660000001,-75.7023826,29
63,45.4301171,-75.6945871,22
64,45.4185216,-75.6909416,21
65,45.4287163,-75.6880815,16
66,45.414475,-75.6985518,36
67,45.42644320000001,-75.6891033,52
68,45.4116538,-75.6989751,4
69,45.4146479,-75.6876049,19
70,45.4292748,-75.6965578,30
71,45.43251245,-75.6889524,88
72,45.41843479999999,-75.7018846,28
73,45.4216383,-75.6963601,21
74,45.4090416,-75.7119968,10
75,45.41316969999999,-75.69745100000002,10
76,45.42055719999998,-75.7007992,14
77,45.41293460000001,-75.7126442,90
78,45.4094129,-75.694272,31
79,45.418357,-75.6935196,13
80,45.423422900000006,-75.6877346,152
81,45.4193562,-75.6997545,28
82,45.417476399999984,-75.7059895,22
83,45.42200400000001,-75.6993525,10
84,45.4113643,-75.68744755,60
85,45.41144250000001,-75.690194,25
86,45.42710460000001,-75.6896551,63
87,45.4094897,-75.71055590000002,27
88,45.415369,-75.696364,37
89,45.41491639999999,-75.6932062,36
90,45.4180982,-75.7065247,10
91,45.42801669999999,-75.68753720000001,63
92,45.4161564,-75.7048224,14
93,45.418756300000005,-75.696536,12
95,45.4171952,-75.6897942,11
97,45.4103809,-75.6978887,20
98,45.4143215,-75.7074086,19
99,45.4199413,-75.7002582,28
100,45.43086540000001,-75.6928213,24
