intersection_cluster,geometry,lat,lon
0,POINT (-75.642128175 45.432695975),45.432695975,-75.642128175
1,POINT (-75.6763673 45.4062718),45.4062718,-75.6763673
2,POINT (-75.6776488 45.4085659),45.4085659,-75.6776488
3,POINT (-75.6752976 45.404415799999995),45.404415799999995,-75.6752976
4,POINT (-75.6784064 45.409794099999985),45.409794099999985,-75.6784064
5,POINT (-75.6103614 45.44606109999998),45.44606109999998,-75.6103614
6,POINT (-75.7257577 45.388569099999984),45.388569099999984,-75.7257577
7,POINT (-75.7290303 45.3564274),45.3564274,-75.7290303
8,POINT (-75.73055675 45.345938299999986),45.345938299999986,-75.73055675
9,POINT (-75.78269205000001 45.3317942),45.3317942,-75.78269205000001
10,POINT (-75.89871345 45.308859749999996),45.308859749999996,-75.89871345
11,POINT (-75.771646 45.33963419999999),45.33963419999999,-75.771646
12,POINT (-75.76386515 45.35313494999998),45.35313494999998,-75.76386515
13,POINT (-75.717741875 45.274265525000004),45.274265525000004,-75.717741875
14,POINT (-75.6103227 45.3941846),45.3941846,-75.6103227
15,POINT (-75.618625 45.3984284),45.3984284,-75.618625
16,POINT (-75.60390495000001 45.3858804),45.3858804,-75.60390495000001
17,POINT (-75.6360237 45.444673949999995),45.444673949999995,-75.6360237
18,POINT (-75.7579348 45.319685699999994),45.319685699999994,-75.7579348
19,POINT (-75.77977955 45.32683909999999),45.32683909999999,-75.77977955
20,POINT (-75.7585017 45.318264899999996),45.318264899999996,-75.7585017
21,POINT (-75.7488217 45.39431619999999),45.39431619999999,-75.7488217
22,POINT (-75.53122465000001 45.46138089999999),45.46138089999999,-75.53122465000001
23,POINT (-75.54667810000001 45.46999595),45.46999595,-75.54667810000001
24,POINT (-75.90109475 45.296840825),45.296840825,-75.90109475
25,POINT (-75.6432015 45.3785754),45.3785754,-75.6432015
26,POINT (-75.6254483 45.366232999999994),45.366232999999994,-75.6254483
27,POINT (-75.6290538 45.36943239999998),45.36943239999998,-75.6290538
28,POINT (-75.93370665 45.35428254999999),45.35428254999999,-75.93370665
29,POINT (-75.8424249 45.34294689999999),45.34294689999999,-75.8424249
30,POINT (-75.927831625 45.294805174999986),45.294805174999986,-75.927831625
31,POINT (-75.7259203 45.271684233333325),45.271684233333325,-75.7259203
32,POINT (-75.520081725 45.477238475),45.477238475,-75.520081725
33,POINT (-75.5130018 45.47890559999999),45.47890559999999,-75.5130018
34,POINT (-75.7023592 45.28636179999999),45.28636179999999,-75.7023592
35,POINT (-75.73084755 45.25932694999999),45.25932694999999,-75.73084755
36,POINT (-75.3354097 45.52470779999999),45.52470779999999,-75.3354097
37,POINT (-75.84641245 45.35358369999999),45.35358369999999,-75.84641245
38,POINT (-75.7549363 45.339104899999995),45.339104899999995,-75.7549363
39,POINT (-75.6788663 45.420527099999994),45.420527099999994,-75.6788663
40,POINT (-75.6801762 45.422068999999986),45.422068999999986,-75.6801762
41,POINT (-75.681517 45.4236868),45.4236868,-75.681517
42,POINT (-75.6829123 45.425330899999985),45.425330899999985,-75.6829123
43,POINT (-75.6847465 45.42454860000001),45.42454860000001,-75.6847465
44,POINT (-75.7213054 45.37961679999999),45.37961679999999,-75.7213054
45,POINT (-75.84344185 45.34562309999999),45.34562309999999,-75.84344185
46,POINT (-75.6709872 45.39456179999999),45.39456179999999,-75.6709872
47,POINT (-75.6449411 45.37794399999999),45.37794399999999,-75.6449411
48,POINT (-75.67293169999999 45.39271629999999),45.39271629999999,-75.67293169999999
49,POINT (-75.51864645 45.481088549999996),45.481088549999996,-75.51864645
50,POINT (-75.6892401 45.416554099999985),45.416554099999985,-75.6892401
51,POINT (-75.5676329 45.43771949999998),45.43771949999998,-75.5676329
52,POINT (-75.7089824 45.396983249999984),45.396983249999984,-75.7089824
53,POINT (-75.70683110000002 45.396163699999995),45.396163699999995,-75.70683110000002
54,POINT (-75.90525035 45.334456049999986),45.334456049999986,-75.90525035
55,POINT (-75.8857455 45.31481899999999),45.31481899999999,-75.8857455
56,POINT (-75.8993126 45.32928149999998),45.32928149999998,-75.8993126
57,POINT (-75.88475015 45.31842434999999),45.31842434999999,-75.88475015
58,POINT (-75.88747590000001 45.3224678),45.3224678,-75.88747590000001
59,POINT (-75.89399630000001 45.32130489999998),45.32130489999998,-75.89399630000001
60,POINT (-75.9004085 45.31697549999999),45.31697549999999,-75.9004085
61,POINT (-75.7720392 45.32292765),45.32292765,-75.7720392
62,POINT (-75.9387825 45.31412819999999),45.31412819999999,-75.9387825
63,POINT (-75.88957450000001 45.29739875),45.29739875,-75.88957450000001
64,POINT (-75.9216391 45.29665665),45.29665665,-75.9216391
65,POINT (-75.93916905 45.294953250000006),45.294953250000006,-75.93916905
66,POINT (-75.92485563333332 45.29623813333333),45.29623813333333,-75.92485563333332
67,POINT (-75.907522675 45.302033149999986),45.302033149999986,-75.907522675
68,POINT (-75.89182745 45.29011144999998),45.29011144999998,-75.89182745
69,POINT (-75.89569737500001 45.29351277499999),45.29351277499999,-75.89569737500001
70,POINT (-75.9432388 45.2635186),45.2635186,-75.9432388
71,POINT (-75.941859 45.2696584),45.2696584,-75.941859
72,POINT (-75.9527239 45.277621799999984),45.277621799999984,-75.9527239
73,POINT (-75.939192725 45.26781712499999),45.26781712499999,-75.939192725
74,POINT (-75.95820524999999 45.281967849999994),45.281967849999994,-75.95820524999999
75,POINT (-75.9720582 45.2931781),45.2931781,-75.9720582
76,POINT (-75.88002130000001 45.302648649999995),45.302648649999995,-75.88002130000001
77,POINT (-75.925507925 45.274544925),45.274544925,-75.925507925
78,POINT (-75.88041325 45.3105858),45.3105858,-75.88041325
79,POINT (-75.8754906 45.301810249999996),45.301810249999996,-75.8754906
80,POINT (-75.8941278 45.29449249999999),45.29449249999999,-75.8941278
81,POINT (-75.9177392 45.30973629999998),45.30973629999998,-75.9177392
82,POINT (-75.90530765 45.312362699999994),45.312362699999994,-75.90530765
83,POINT (-75.9727089 45.36668359999999),45.36668359999999,-75.9727089
84,POINT (-75.9239928 45.2612619),45.2612619,-75.9239928
85,POINT (-75.9102162 45.304315399999986),45.304315399999986,-75.9102162
86,POINT (-75.8958607 45.3107891),45.3107891,-75.8958607
87,POINT (-75.8936741 45.30074809999998),45.30074809999998,-75.8936741
88,POINT (-75.9589927 45.373250999999996),45.373250999999996,-75.9589927
89,POINT (-75.9203175 45.28889479999999),45.28889479999999,-75.9203175
90,POINT (-75.90399135000001 45.299123699999996),45.299123699999996,-75.90399135000001
91,POINT (-75.9298885 45.29643389999999),45.29643389999999,-75.9298885
92,POINT (-75.93144165 45.267455699999985),45.267455699999985,-75.93144165
93,POINT (-75.900489 45.3099845),45.3099845,-75.900489
94,POINT (-75.9029629 45.3113956),45.3113956,-75.9029629
95,POINT (-75.8958232 45.30484809999998),45.30484809999998,-75.8958232
96,POINT (-75.9016965 45.3106769),45.3106769,-75.9016965
97,POINT (-75.9259943 45.2629146),45.2629146,-75.9259943
98,POINT (-75.9208778 45.2584697),45.2584697,-75.9208778
99,POINT (-75.9159988 45.25445919999999),45.25445919999999,-75.9159988
100,POINT (-75.92152014999999 45.27705819999999),45.27705819999999,-75.92152014999999
101,POINT (-75.92825905000001 45.264812199999994),45.264812199999994,-75.92825905000001
102,POINT (-75.93004339999999 45.26751384999999),45.26751384999999,-75.93004339999999
103,POINT (-75.9310456 45.34510379999999),45.34510379999999,-75.9310456
104,POINT (-75.92743580000001 45.35108604999999),45.35108604999999,-75.92743580000001
105,POINT (-75.8803432 45.34507289999999),45.34507289999999,-75.8803432
106,POINT (-75.9148704 45.344370999999995),45.344370999999995,-75.9148704
107,POINT (-75.8907703 45.322468599999986),45.322468599999986,-75.8907703
108,POINT (-75.8941472 45.32543899999999),45.32543899999999,-75.8941472
109,POINT (-75.9090333 45.336574049999996),45.336574049999996,-75.9090333
110,POINT (-75.8934473 45.312753799999996),45.312753799999996,-75.8934473
111,POINT (-75.83003815000001 45.31664339999999),45.31664339999999,-75.83003815000001
112,POINT (-75.8344148 45.323812999999994),45.323812999999994,-75.8344148
113,POINT (-75.84647435 45.35062129999999),45.35062129999999,-75.84647435
114,POINT (-75.76878264999999 45.362056499999994),45.362056499999994,-75.76878264999999
115,POINT (-75.761083825 45.349024249999985),45.349024249999985,-75.761083825
116,POINT (-75.75604415000001 45.3542841),45.3542841,-75.75604415000001
117,POINT (-75.7883739 45.365211399999986),45.365211399999986,-75.7883739
118,POINT (-75.79068520000001 45.350886774999985),45.350886774999985,-75.79068520000001
119,POINT (-75.77876835 45.32514525),45.32514525,-75.77876835
120,POINT (-75.7885245 45.34376759999999),45.34376759999999,-75.7885245
121,POINT (-75.80103785 45.315596449999994),45.315596449999994,-75.80103785
122,POINT (-75.75212746666666 45.33393526666666),45.33393526666666,-75.75212746666666
123,POINT (-75.7551212 45.371381399999976),45.371381399999976,-75.7551212
124,POINT (-75.803374 45.3480053),45.3480053,-75.803374
125,POINT (-75.76757180000001 45.35985479999999),45.35985479999999,-75.76757180000001
126,POINT (-75.791379 45.35228429999999),45.35228429999999,-75.791379
127,POINT (-75.7581843 45.350207099999984),45.350207099999984,-75.7581843
128,POINT (-75.75071155 45.33165464999999),45.33165464999999,-75.75071155
129,POINT (-75.8073792 45.352724299999984),45.352724299999984,-75.8073792
130,POINT (-75.79123635 45.361838199999994),45.361838199999994,-75.79123635
131,POINT (-75.7786962 45.37365439999999),45.37365439999999,-75.7786962
