from_cluster,to_cluster,road_distance_m
0,398,183.22
2,4,148.85
4,453,177.46
6,173,95.64
6,720,126.06
6,722,100.29
6,1105,136.87
6,1106,112.54
10,93,188.23
13,898,183.52
21,186,187.47
21,234,193.74
25,47,56.08
33,1523,186.27
33,1524,161.39
33,1525,186.27
39,40,199.62
42,43,167.51
42,431,160.11
42,440,121.82
43,1161,170.95
43,1746,170.95
43,1751,170.95
50,305,83.39
50,319,169.28
50,351,120.4
52,983,161.18
52,984,140.76
53,983,158.73
53,984,179.15
69,80,166.27
79,150,174.68
81,948,161.67
81,949,172.6
92,102,116.23
93,96,123.3
94,96,127.28
112,1351,60.72
112,1352,72.57
126,146,57.33
129,1176,121.19
129,1177,135.45
130,817,76.9
130,918,171.79
130,919,164.24
133,812,158.56
134,147,119.48
139,1438,116.06
145,1019,198.44
147,742,124.74
149,770,168.9
149,771,146.42
149,1651,187.04
163,172,84.03
164,168,195.09
166,1003,80.49
166,1004,90.37
166,1005,105.48
166,1090,80.49
166,1091,65.07
166,1627,65.07
167,1047,157.76
167,1579,179.89
171,1225,167.24
171,1226,151.35
173,720,75.5
173,722,68.4
178,185,121.72
179,180,154.98
180,183,78.77
187,214,178.38
187,285,178.38
187,331,161.99
188,207,153.53
188,342,109.92
188,354,161.74
189,263,78.27
190,293,84.72
190,345,84.84
191,213,185.55
191,224,97.26
191,255,199.81
191,257,153.25
191,289,82.78
191,298,111.17
191,1155,174.24
192,200,80.52
192,243,189.23
192,264,181.98
194,211,174.33
197,257,155.02
197,1155,138.39
198,780,109.28
198,795,109.28
198,796,156.27
198,1457,174.71
198,1693,103.12
199,228,173.09
199,249,162.15
200,222,193.73
200,252,177.89
200,264,101.46
200,369,188.48
201,240,178.15
201,293,184.39
201,294,168.7
203,380,182.95
204,225,78.77
204,302,177.97
204,322,192.21
205,780,109.28
205,795,109.28
205,796,156.27
205,1457,174.71
205,1693,103.12
205,1694,178.02
205,1695,178.02
205,1696,191.8
206,223,91.8
206,311,165.95
206,362,77.5
207,276,78.3
207,290,187.44
208,240,168.72
208,246,83.96
210,360,190.27
210,1607,179.98
212,257,155.02
212,781,176.85
212,867,176.85
212,1155,138.39
213,255,198.35
213,257,188.0
213,289,102.77
213,347,122.8
213,799,174.19
214,215,180.11
214,230,178.38
214,274,180.11
214,349,79.35
214,373,156.37
215,285,180.11
215,312,80.46
215,344,193.48
215,360,163.17
216,284,143.3
216,367,76.13
216,369,174.65
221,343,164.74
221,375,80.53
222,244,181.58
222,283,106.23
222,312,182.25
222,353,78.92
223,311,74.15
223,362,169.3
223,1795,116.26
224,257,75.81
224,289,161.04
224,298,197.12
224,437,114.56
224,1155,96.8
225,244,177.96
225,265,189.71
225,322,113.44
225,1689,187.09
225,1692,187.09
227,796,142.37
227,1457,173.47
229,288,125.76
230,285,178.38
230,331,161.99
231,327,164.14
233,270,186.94
235,275,177.96
237,333,173.43
238,1689,173.3
238,1690,158.17
238,1691,158.17
238,1692,173.3
239,1478,154.24
240,277,174.35
240,319,181.31
241,315,80.72
241,347,179.49
241,352,82.15
242,262,154.65
242,324,75.63
242,800,188.13
242,1181,188.13
244,302,79.92
245,296,142.51
245,323,187.91
245,367,156.83
245,1480,178.72
245,1607,188.9
247,363,184.83
249,361,100.06
250,324,184.62
250,381,119.81
252,323,80.59
252,344,80.59
253,262,180.09
253,338,81.08
254,305,172.56
254,316,86.3
254,319,86.66
255,298,88.64
255,343,151.66
256,293,197.6
256,333,188.76
257,289,85.23
257,437,190.37
257,1155,152.8
258,308,165.02
259,309,125.66
260,336,179.91
260,351,127.05
261,310,111.97
261,848,194.31
262,324,176.05
263,375,158.74
264,283,195.29
264,323,157.02
265,349,178.35
267,326,164.0
268,291,123.12
268,383,187.38
269,309,103.22
269,372,116.07
270,306,163.55
271,326,146.42
272,989,171.44
272,990,161.49
273,345,198.85
274,283,156.48
274,285,180.11
274,312,80.46
274,323,193.48
274,360,163.17
275,673,175.7
278,781,178.49
278,867,178.49
278,1161,95.17
278,1746,95.17
278,1751,95.17
280,806,170.46
280,807,192.61
280,1664,170.46
282,346,163.05
283,312,76.02
283,353,185.15
283,373,179.9
284,296,80.8
284,1742,159.26
285,349,79.35
286,317,112.02
286,364,178.51
287,342,149.03
288,317,186.97
288,364,109.79
289,298,193.95
291,361,174.74
291,1462,89.41
293,345,169.56
293,380,172.94
295,365,163.64
295,370,90.63
296,1616,158.12
296,1617,167.8
296,1742,78.46
298,418,168.16
